destination_code,destination,country,currency,estimated_from_price_eur,price_category,price_basis,price_explanation,primary_trip_type,secondary_trip_type,trip_tags,is_citytrip,is_beach,is_island,is_sunny_escape,is_winter_holiday,is_cultural,is_foodie,is_nature,is_active,is_romantic,is_nightlife,is_family_friendly,best_spring,best_summer,best_autumn,best_winter,best_seasons,temperature_profile,trip_length_short_break,trip_length_week,trip_length_long_week,trip_lengths,notes,agent_summary,data_quality_note,record_status,source_url,tagging_basis
tirana,Tirana,Albania,EUR,115,budget,synthetic_rule_based_estimate_v1,city demand | sun demand | value market,citytrip,cultural,citytrip|sunny_escape|cultural,True,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; budget pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
innsbruck,Innsbruck,Austria,EUR,175,mid_range,synthetic_rule_based_estimate_v1,winter demand,winter_holiday,active,winter_holiday|nature|active,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,spring|winter,alpine_cold,False,True,True,week|long_week,"Alpine gateway suited to skiing, mountain scenery and winter breaks.","winter holiday; active; best in spring, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
salzburg,Salzburg,Austria,EUR,180,mid_range,synthetic_rule_based_estimate_v1,city demand | winter demand,winter_holiday,active,citytrip|winter_holiday|cultural|active,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,spring|winter,alpine_cold,False,True,True,week|long_week,"Alpine gateway suited to skiing, mountain scenery and winter breaks.","winter holiday; active; best in spring, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
dubrovnik,Dubrovnik,Croatia,EUR,170,mid_range,synthetic_rule_based_estimate_v1,city demand | beach appeal | sun demand | mixed city + beach appeal,citytrip,beach,citytrip|beach|sunny_escape|cultural|romantic,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal city that combines urban sightseeing with easy beach access.,"citytrip; beach; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
pula,Pula,Croatia,EUR,160,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,nature,beach|sunny_escape|nature|active|family_friendly,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
split,Split,Croatia,EUR,155,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,relaxation,beach|sunny_escape|foodie|active,False,True,False,True,False,False,True,False,True,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
zadar,Zadar,Croatia,EUR,155,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,nature,beach|sunny_escape|nature|family_friendly,False,True,False,True,False,False,False,True,False,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
larnaca,Larnaca,Cyprus,EUR,210,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand,beach,relaxation,beach|sunny_escape|winter_holiday|family_friendly,False,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,spring|summer|autumn|winter,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
paphos,Paphos,Cyprus,EUR,230,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand | high demand,beach,romantic,beach|sunny_escape|winter_holiday|romantic|family_friendly,False,True,False,True,True,False,False,False,False,True,False,True,True,True,True,True,spring|summer|autumn|winter,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; romantic; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
prague,Prague,Czech Republic,EUR,125,budget,synthetic_rule_based_estimate_v1,city demand | value market,citytrip,cultural,citytrip|cultural|romantic,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,spring|summer|autumn,temperate_to_cool,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; budget pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
copenhagen,Copenhagen,Denmark,EUR,135,mid_range,synthetic_rule_based_estimate_v1,city demand | high demand,citytrip,cultural,citytrip|cultural,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,temperate_to_cool,True,True,False,short_break|week,"Culture-led city break with major sights, museums or heritage appeal.","citytrip; cultural; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
cairo,Cairo,Egypt,EUR,180,mid_range,synthetic_rule_based_estimate_v1,city demand | sun demand,citytrip,foodie,citytrip|sunny_escape|cultural|foodie,True,False,False,True,False,True,True,False,False,False,False,False,True,False,True,True,spring|autumn|winter,hot_sunny,True,True,True,short_break|week|long_week,Historic city break with strong food culture and landmark-rich center.,"citytrip; foodie; best in spring, autumn, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
hurghada,Hurghada,Egypt,EUR,250,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand | nightlife demand,beach,relaxation,beach|sunny_escape|winter_holiday|active|nightlife|family_friendly,False,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,spring|summer|autumn|winter,hot_sunny,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
marsa_alam,Marsa Alam,Egypt,EUR,245,premium,synthetic_rule_based_estimate_v1,beach appeal | sun demand | winter demand | high demand,nature,beach,beach|sunny_escape|winter_holiday|nature|active|family_friendly,False,True,False,True,True,False,False,True,True,False,False,True,True,True,True,True,spring|summer|autumn|winter,hot_sunny,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"nature; beach; best in spring, summer, autumn, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
bastia,Bastia,France,EUR,200,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|cultural|foodie|nature|family_friendly,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,spring|summer|autumn,temperate_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
bergerac,Bergerac,France,EUR,130,mid_range,synthetic_rule_based_estimate_v1,value market,nature,cultural,cultural|nature,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,spring|summer|autumn,temperate_warm,False,True,True,week|long_week,Balanced leisure destination with a mix of scenery and local culture.,"nature; cultural; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
nice,Nice,France,EUR,185,mid_range,synthetic_rule_based_estimate_v1,city demand | beach appeal | sun demand | mixed city + beach appeal,citytrip,beach,citytrip|beach|sunny_escape|cultural|foodie|romantic,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,False,spring|summer|autumn,temperate_warm,True,True,False,short_break|week,Coastal city that combines urban sightseeing with easy beach access.,"citytrip; beach; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
toulon,Toulon,France,EUR,150,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,relaxation,beach|sunny_escape,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,temperate_warm,True,True,False,short_break|week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
tbilisi,Tbilisi,Georgia,EUR,140,mid_range,synthetic_rule_based_estimate_v1,city demand,citytrip,cultural,citytrip|cultural|foodie,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,spring|summer|autumn,continental_mild,True,True,True,short_break|week|long_week,Historic city break with strong food culture and landmark-rich center.,"citytrip; cultural; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
athens,Athens,Greece,EUR,185,mid_range,synthetic_rule_based_estimate_v1,city demand | sun demand | nightlife demand,citytrip,cultural,citytrip|sunny_escape|cultural|foodie|romantic|nightlife,True,False,False,True,False,True,True,False,False,True,True,False,True,True,True,True,spring|summer|autumn|winter,mediterranean_warm,True,True,True,short_break|week|long_week,Historic city break with strong food culture and landmark-rich center.,"citytrip; cultural; best in spring, summer, autumn, winter; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
chania_crete,Chania (Crete),Greece,EUR,190,mid_range,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,relaxation,beach|island|sunny_escape|cultural,False,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
corfu,Corfu,Greece,EUR,205,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
heraklion_crete,Heraklion (Crete),Greece,EUR,195,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,relaxation,beach|island|sunny_escape|cultural|family_friendly,False,True,True,True,False,True,False,False,False,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; relaxation; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
kalamata,Kalamata,Greece,EUR,175,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,relaxation,beach|sunny_escape|cultural|family_friendly,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
karpathos,Karpathos,Greece,EUR,200,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active,False,True,True,True,False,False,False,True,True,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Relaxed island destination with beaches, scenic nature and a slower pace.","beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
kefalonia,Kefalonia,Greece,EUR,205,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Relaxed island destination with beaches, scenic nature and a slower pace.","beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
kos,Kos,Greece,EUR,200,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,relaxation,beach|island|sunny_escape|active|family_friendly,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; relaxation; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
lesbos,Lesbos,Greece,EUR,190,mid_range,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Relaxed island destination with beaches, scenic nature and a slower pace.","beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
mykonos,Mykonos,Greece,EUR,220,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand | nightlife demand,beach,nightlife,beach|island|sunny_escape|nightlife,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination known for lively evenings and summer energy.,"beach; nightlife; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
preveza_lefkas,Preveza (Lefkas),Greece,EUR,175,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,nature,beach|sunny_escape|nature|active,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Coastal leisure destination with beaches plus easy access to outdoor activities.,"beach; nature; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
rhodes,Rhodes,Greece,EUR,200,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,relaxation,beach|island|sunny_escape|active|family_friendly,False,True,True,True,False,False,False,False,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; relaxation; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
samos,Samos,Greece,EUR,205,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Relaxed island destination with beaches, scenic nature and a slower pace.","beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
santorini,Santorini,Greece,EUR,225,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand | high demand,beach,romantic,beach|island|sunny_escape|cultural|romantic,False,True,True,True,False,True,False,False,False,True,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; romantic; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
skiathos,Skiathos,Greece,EUR,205,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
thessaloniki,Thessaloniki,Greece,EUR,160,mid_range,synthetic_rule_based_estimate_v1,city demand | nightlife demand,citytrip,foodie,citytrip|cultural|foodie|nightlife,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Historic city break with strong food culture and landmark-rich center.,"citytrip; foodie; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
zakynthos,Zakynthos,Greece,EUR,205,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
reykjavik,Reykjavik,Iceland,EUR,290,premium,synthetic_rule_based_estimate_v1,city demand | island routing | winter demand | high demand,nature,active,citytrip|island|winter_holiday|cultural|nature|active,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,True,summer|winter,cool_subarctic,True,True,True,short_break|week|long_week,"Compact capital ideal for nature-led trips, geothermal scenery and short adventures.","nature; active; best in summer, winter; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
alghero,Alghero,Italy,EUR,195,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
bari,Bari,Italy,EUR,140,mid_range,synthetic_rule_based_estimate_v1,city demand,cultural,foodie,citytrip|cultural|foodie,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Historic city break with strong food culture and landmark-rich center.,"cultural; foodie; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
bologna,Bologna,Italy,EUR,140,mid_range,synthetic_rule_based_estimate_v1,city demand,cultural,foodie,citytrip|cultural|foodie,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,True,True,False,short_break|week,Historic city break with strong food culture and landmark-rich center.,"cultural; foodie; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
brindisi,Brindisi,Italy,EUR,155,mid_range,synthetic_rule_based_estimate_v1,beach appeal | sun demand,beach,relaxation,beach|sunny_escape|family_friendly,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,"Beach-focused holiday destination suited to sun, sea and downtime.","beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
catania_sicily,Catania (Sicily),Italy,EUR,185,mid_range,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,relaxation,beach|island|sunny_escape|cultural|foodie,False,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; relaxation; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
naples,Naples,Italy,EUR,150,mid_range,synthetic_rule_based_estimate_v1,city demand | nightlife demand,cultural,foodie,citytrip|cultural|foodie|nightlife,True,False,False,False,False,True,True,False,False,False,True,False,True,True,True,False,spring|summer|autumn,mediterranean_warm,True,True,False,short_break|week,Historic city break with strong food culture and landmark-rich center.,"cultural; foodie; best in spring, summer, autumn; mid_range pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
olbia_sardinia,Olbia (Sardinia),Italy,EUR,195,premium,synthetic_rule_based_estimate_v1,beach appeal | island routing | sun demand,beach,nature,beach|island|sunny_escape|nature|active|family_friendly,False,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,spring|summer|autumn,mediterranean_warm,False,True,True,week|long_week,Island beach destination with strong leisure appeal and scenic coastal settings.,"beach; nature; best in spring, summer, autumn; premium pricing","Cleaned and normalized; price is synthetic and explainable, not live fare data.",ready_for_poc,https://example.com/destinations,official_destination_index_plus_heuristic_travel_profile_enrichment
